Season,Game,Week,Date,Market,Team,Opponent,Possesions,Possesions Against,Goals,2pt Goals,Goals Against,Score,Score Against,Efficiency,D Efficiency,Unassisted Goals,Unassisted Shots,Unassisted Sh. %,Unassisted goals A,Unassisted Shots Against,Unassisted A%,Assisted Goals,Assisted Shots,Assisted Sh. %,Assisted Goals A,Assisted Sh A,Assisted A%,Shots,Shots A,Dodge G,Dodge Sh,Dodge Sh%,Dodge G A,Dodge Sh A,Dodge Sh% A,Two-man G,Two-man Sh,Two-man Sh%,Two-man G A,Two-man Sh A,Two-man Sh% A,Second Assists,Second AOs,Turnovers,AO-to-TO Ratio,PNR Assists,FB Possesion,FB Goals,FB Shots,FB Points,FB Turnovers,FB %,FB Possesion Against,FB Goals Against,FB Shots Against,FB Points Against,FB CTO,Settled Possesion,Settled Goal,Settled Shots,Settled Poss A,Settled Goals agaisnt,Settled Shots Against,Saves,Save %,Devitte,Unique Goal Scorers,Average Shot Distance,Average Assist Distance,TOP (sec),TOP %,Possession %,Result,Possesion Battle,P&W,Margin,Quality Shots,Tough Shots,Shot Quality Ratio,Quality Shots A,Tough Shots A,Shot Quality A Ratio,Shot Quality Margin,Expected Goals
2019,6,2,6/9/2019,New York,Chaos,Atlas,40,46,15,3,12,18,13,0.38,0.26,7,20,0.35,4,18,0.22,8,24,0.33,8,23,0.35,44,41,4,18,0.22,1,12,0.08,4,9,0.44,1,5,0.20,4,8,13,0.62,3,12,5,10,8,2,0.42,13,6,10,7,3,25,9,28,17,3,19,16,0.6,10,8,11.03977537,#DIV/0!,1281,0.44,0.47,W,L,0,5,14,30,2.1,23,18,0.8,1.4,15.4
2019,7,3,6/15/2019,Chicago,Chaos,Redwoods,43,45,12,0,10,12,11,0.28,0.22,4,13,0.31,4,24,0.17,8,17,0.47,6,25,0.24,30,49,5,15,0.33,2,24,0.08,2,3,0.67,2,7,0.29,2,2,22,0.36,1,13,3,8,3,5,0.23,12,2,10,2,2,20,6,17,26,4,29,16,0.6,-2,6,8.434192385,#DIV/0!,1133,0.39,0.49,W,L,0,1,26,4,0.2,17,32,1.9,-1.7,15.2
2019,7,3,6/15/2019,Chicago,Redwoods,Chaos,45,43,10,1,12,11,12,0.22,0.28,4,24,0.17,4,13,0.31,6,25,0.24,8,17,0.47,49,30,2,24,0.08,5,15,0.33,2,7,0.29,2,3,0.67,2,9,15,0.40,1,12,2,10,2,2,0.17,13,3,8,3,5,26,4,29,20,6,17,8,0.4,1,7,11.18059383,#DIV/0!,1437,0.50,0.51,L,W,0,-1,17,32,1.9,26,4,0.2,1.7,15.3
2019,8,3,6/15/2019,Chicago,Whipsnakes,Archers,45,44,9,2,10,11,10,0.20,0.23,3,21,0.14,3,19,0.16,6,15,0.40,7,27,0.26,36,46,5,21,0.24,3,20,0.15,2,4,0.50,2,10,0.20,2,3,18,0.33,1,7,1,6,1,1,0.14,5,0,5,0,0,27,7,23,25,4,26,21,0.7,-3,5,12.41309932,#DIV/0!,1091,0.38,0.51,W,W,1,1,9,27,3.0,16,30,1.9,1.1,12.7
2019,8,3,6/15/2019,Chicago,Archers,Whipsnakes,44,45,10,0,9,10,11,0.23,0.20,3,19,0.16,3,21,0.14,7,27,0.26,6,15,0.40,46,36,3,20,0.15,5,21,0.24,2,10,0.20,2,4,0.50,1,5,15,0.47,1,5,0,5,0,0,0.00,7,1,6,1,1,25,4,26,27,7,23,13,0.6,2,6,11.04868576,#DIV/0!,1252,0.43,0.49,L,L,0,-1,16,30,1.9,9,27,3.0,-1.1,13.9
2019,9,3,6/16/2019,Chicago,Atlas,Chrome,42,39,12,1,10,13,12,0.29,0.26,5,17,0.29,4,21,0.19,7,18,0.39,6,21,0.29,35,42,3,14,0.21,5,21,0.24,4,7,0.57,3,9,0.33,3,8,18,0.39,3,15,3,9,4,6,0.20,9,3,8,3,1,22,7,21,21,5,26,17,0.6,1,6,9.73117564,#DIV/0!,1153,0.40,0.52,W,W,1,1,15,20,1.3,15,27,1.8,-0.5,15.2
2019,9,3,6/16/2019,Chicago,Chrome,Atlas,39,42,10,2,12,12,13,0.26,0.29,4,21,0.19,5,17,0.29,6,21,0.29,7,18,0.39,42,35,5,21,0.24,3,14,0.21,3,9,0.33,4,7,0.57,2,5,12,0.50,2,9,3,8,3,1,0.33,15,3,9,4,6,21,5,26,22,7,21,11,0.5,4,6,10.42459479,#DIV/0!,1144,0.40,0.48,L,L,0,-1,15,27,1.8,15,20,1.3,0.5,15.3
2019,10,4,6/22/2019,Baltimore,Redwoods,Chrome,42,40,13,0,9,13,11,0.31,0.23,5,25,0.20,4,23,0.17,8,17,0.47,5,16,0.31,42,39,3,20,0.15,5,19,0.26,3,6,0.50,3,7,0.43,6,10,14,0.57,2,11,8,11,8,1,0.73,12,1,8,2,5,26,5,24,22,8,23,14,0.6,7,9,9.930943145,#DIV/0!,1120,0.39,0.51,W,W,1,2,15,27,1.8,18,21,1.2,0.6,15.7
2019,10,4,6/22/2019,Baltimore,Chrome,Redwoods,40,42,9,2,13,11,13,0.23,0.31,4,23,0.17,5,25,0.20,5,16,0.31,8,17,0.47,39,42,5,19,0.26,3,20,0.15,3,7,0.43,3,6,0.50,1,3,21,0.24,0,12,1,8,2,5,0.08,11,8,11,8,1,22,8,23,26,5,24,10,0.4,-7,7,10.05660945,#DIV/0!,1183,0.41,0.49,L,L,0,-2,18,21,1.2,15,27,1.8,-0.6,14.5
2019,11,4,6/22/2019,Baltimore,Atlas,Whipsnakes,35,34,9,1,12,10,15,0.26,0.35,4,19,0.21,5,31,0.16,5,18,0.28,7,20,0.35,37,51,5,19,0.26,3,19,0.16,0,5,0.00,4,12,0.33,1,3,15,0.33,0,9,2,9,3,1,0.22,16,4,13,5,3,27,6,23,21,6,26,17,0.6,-1,6,10.4691107,#DIV/0!,1081,0.38,0.51,L,W,0,-5,16,21,1.3,16,35,2.2,-0.9,13.2
2019,11,4,6/22/2019,Baltimore,Whipsnakes,Atlas,34,35,12,3,9,15,10,0.35,0.26,5,31,0.16,4,19,0.21,7,20,0.35,5,18,0.28,51,37,3,19,0.16,5,19,0.26,4,12,0.33,0,5,0.00,3,10,10,0.70,2,16,4,13,5,3,0.25,9,2,9,3,1,21,6,26,27,6,23,15,0.6,9,6,10.68906747,#DIV/0!,1301,0.45,0.49,W,L,0,5,16,35,2.2,16,21,1.3,0.9,16.1
