Season,game Number,Week,Player,Team,Opposing Team,Position,goals,uaGoals,uaShots,uaS%,assistedGoals,assistedShots,assistedS%,% of Shots Assisted,shots,settledGoals,settledShots,settledSh%,fbGoals,subGoals,ppGoals,assists,assistOpportunities,dodgeAssists,pnrAssists,settledAssists,fbAssists,ppAssists,sh%Created,AO-to-SH Ratio,secondAssists,secondAo,sog,offShots,blockedShots,messyShots,pipeShots,shotClockResets,cleanSaveShots,shotTurnovers,turnovers,TO + Shot TO,AO-to-TO Ratio,rhGoals,rhShots,rhS%,lhGoals,lhShots,lhSh%,doorstepGoals,holeGoals,lpGoals,lwGoals,mGoals,rwGoals,rpGoals,twoPointGoals,doorstepShots,holeShots,lpShots,lwShots,mShots,rwShots,rpShots,twoPointShots,xg,playerId,teamId
2019,1,1,Ned Crotty,Chrome,Archers,M,3,2,5,40.00%,1,1,100.00%,16.67%,6,3,6,50%,0,0,0,0,1,0,0,0,0,0,0.00%,0.17,0,0,3,3,0,0,3,0,0,1,1,2,1.00,1,2,50.00%,2,4,50.00%,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,0,1.3,000304,CHR
2019,1,1,Tom Schreiber,Archers,Chrome,M,1,0,3,0.00%,1,1,100.00%,25.00%,4,0,2,0%,0,0,0,2,4,1,0,1,0,1,50.00%,1.00,0,0,1,2,0,0,2,0,1,1,3,4,1.33,1,2,50.00%,0,2,0.00%,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,1.5,000225,ARC
2019,1,1,Will Haus,Chrome,Archers,M,1,1,1,100.00%,0,1,0.00%,50.00%,2,0,0,0%,1,0,0,0,1,0,0,0,0,0,0.00%,0.50,0,1,2,0,0,1,0,0,0,1,0,1,0.00,0,1,0.00%,1,1,100.00%,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.6,000308,CHR
2019,1,1,Joel White,Chrome,Archers,#VALUE!,0,0,1,0.00%,0,0,0.00%,0.00%,1,0,0,0%,0,0,0,0,1,0,0,0,0,0,0.00%,1.00,1,1,0,1,0,0,1,0,0,0,0,0,0.00,0,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,000290,CHR
2019,1,1,Christian Cuccinello,Archers,Chrome,A,0,0,1,0.00%,0,1,0.00%,50.00%,2,0,1,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,1,0,1,0,0,1,0,1,1,1,2,0.00,0,1,0.00%,0,1,0.00%,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.7,000204,ARC
2019,1,1,Mike O'Neil,Chrome,Archers,M,1,0,0,0.00%,1,1,100.00%,100.00%,1,0,0,0%,1,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,1,0,0,0,0,0,0,0,0,0,0.00,1,1,100.00%,0,0,0.00%,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6,000303,CHR
2019,1,1,Ryan Ambler,Archers,Chrome,M,0,0,1,0.00%,0,0,0.00%,0.00%,1,0,1,0%,0,0,0,2,3,2,0,2,0,0,66.67%,3.00,1,1,1,0,0,1,0,0,0,1,2,3,1.50,0,0,0.00%,0,1,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6,000221,ARC
2019,1,1,Dan Eipp,Archers,Chrome,M,0,0,2,0.00%,0,0,0.00%,0.00%,2,0,1,0%,0,0,0,2,2,2,0,2,0,0,100.00%,1.00,0,0,2,0,0,1,0,1,0,1,0,1,0.00,0,0,0.00%,0,2,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.4,000205,ARC
2019,1,1,Romar Dennis,Chrome,Archers,M,0,0,1,0.00%,0,1,0.00%,50.00%,2,0,2,0%,0,0,0,0,2,0,0,0,0,0,0.00%,1.00,0,0,0,2,0,0,2,0,0,0,0,0,0.00,0,2,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,000305,CHR
2019,1,1,Ty Thompson,Chrome,Archers,A,2,0,0,0.00%,2,2,100.00%,100.00%,2,1,1,100%,1,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,2,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00%,1,1,100.00%,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.0,000306,CHR
